State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Delaware,2019-12-21,902,2019-12-14,4836,441663,1.09
Delaware,2019-12-28,1439,2019-12-21,4956,441663,1.12
Delaware,2020-01-04,875,2019-12-28,6881,441663,1.56
Delaware,2020-01-11,1107,2020-01-04,7083,443288,1.60
Delaware,2020-01-18,830,2020-01-11,5967,443288,1.35
Delaware,2020-01-25,674,2020-01-18,5703,443288,1.29
Delaware,2020-02-01,622,2020-01-25,6830,443288,1.54
Delaware,2020-02-08,608,2020-02-01,5888,443288,1.33
Delaware,2020-02-15,610,2020-02-08,5917,443288,1.33
Delaware,2020-02-22,632,2020-02-15,5921,443288,1.34
Delaware,2020-02-29,524,2020-02-22,6742,443288,1.52
Delaware,2020-03-07,518,2020-02-29,5480,443288,1.24
Delaware,2020-03-14,472,2020-03-07,5310,443288,1.20
Delaware,2020-03-21,10776,2020-03-14,5297,443288,1.19
Delaware,2020-03-28,19137,2020-03-21,11506,443288,2.60
Delaware,2020-04-04,18851,2020-03-28,19442,443288,4.39
Delaware,2020-04-11,13258,2020-04-04,29577,445741,6.64
Delaware,2020-04-18,9446,2020-04-11,38451,445741,8.63
Delaware,2020-04-25,7947,2020-04-18,44977,445741,10.09
Delaware,2020-05-02,6297,2020-04-25,52501,445741,11.78
Delaware,2020-05-09,5197,2020-05-02,50205,445741,11.26
Delaware,2020-05-16,5554,2020-05-09,51010,445741,11.44
Delaware,2020-05-23,4651,2020-05-16,50780,445741,11.39
Delaware,2020-05-30,3052,2020-05-23,55172,445741,12.38
Delaware,2020-06-06,3037,2020-05-30,49659,445741,11.14
Delaware,2020-06-13,2516,2020-06-06,47115,445741,10.57
Delaware,2020-06-20,2797,2020-06-13,45112,445741,10.12
Delaware,2020-06-27,2771,2020-06-20,44034,445741,9.88
Delaware,2020-07-04,2791,2020-06-27,45598,445741,10.23
Delaware,2020-07-11,3167,2020-07-04,42194,446976,9.44
Delaware,2020-07-18,2720,2020-07-11,41572,446976,9.30
Delaware,2020-07-25,2563,2020-07-18,40923,446976,9.16
Delaware,2020-08-01,2133,2020-07-25,42352,446976,9.48
Delaware,2020-08-08,1760,2020-08-01,36026,446976,8.06
Delaware,2020-08-15,1927,2020-08-08,35186,446976,7.87
Delaware,2020-08-22,1678,2020-08-15,33171,446976,7.42
Delaware,2020-08-29,1577,2020-08-22,31974,446976,7.15
Delaware,2020-09-05,1629,2020-08-29,32327,446976,7.23
Delaware,2020-09-12,1598,2020-09-05,29534,446976,6.61
Delaware,2020-09-19,1775,2020-09-12,28983,446976,6.48
Delaware,2020-09-26,1815,2020-09-19,26824,446976,6.00
Delaware,2020-10-03,1776,2020-09-26,24183,446976,5.41
Delaware,2020-10-10,2010,2020-10-03,21355,451429,4.73
Delaware,2020-10-17,1715,2020-10-10,19228,451429,4.26
Delaware,2020-10-24,1657,2020-10-17,17349,451429,3.84
Delaware,2020-10-31,1578,2020-10-24,16181,451429,3.58
District of Columbia,2019-01-05,1190,2018-12-29,8150,567976,1.43
District of Columbia,2019-01-12,1964,2019-01-05,8619,570675,1.51
District of Columbia,2019-01-19,1193,2019-01-12,9764,570675,1.71
District of Columbia,2019-01-26,904,2019-01-19,10057,570675,1.76
District of Columbia,2019-02-02,597,2019-01-26,9836,570675,1.72
District of Columbia,2019-02-09,509,2019-02-02,8650,570675,1.52
District of Columbia,2019-02-16,436,2019-02-09,8126,570675,1.42
District of Columbia,2019-02-23,376,2019-02-16,7816,570675,1.37
District of Columbia,2019-03-02,399,2019-02-23,7778,570675,1.36
District of Columbia,2019-03-09,406,2019-03-02,7429,570675,1.30
District of Columbia,2019-03-16,430,2019-03-09,7259,570675,1.27
District of Columbia,2019-03-23,388,2019-03-16,7237,570675,1.27
District of Columbia,2019-03-30,379,2019-03-23,7017,570675,1.23
District of Columbia,2019-04-06,439,2019-03-30,6753,570675,1.18
District of Columbia,2019-04-13,419,2019-04-06,6715,572997,1.17
District of Columbia,2019-04-20,409,2019-04-13,6625,572997,1.16
District of Columbia,2019-04-27,393,2019-04-20,6643,572997,1.16
District of Columbia,2019-05-04,424,2019-04-27,6570,572997,1.15
District of Columbia,2019-05-11,396,2019-05-04,6306,572997,1.10
District of Columbia,2019-05-18,500,2019-05-11,6316,572997,1.10
District of Columbia,2019-05-25,452,2019-05-18,6228,572997,1.09
District of Columbia,2019-06-01,410,2019-05-25,6299,572997,1.10
District of Columbia,2019-06-08,456,2019-06-01,6413,572997,1.12
District of Columbia,2019-06-15,473,2019-06-08,6401,572997,1.12
